RECEIPTS APRIL 2024,,,,,,,,,,,,,,,,
DATE,WHOUSE,GRN #,INVOICE #,ITEM CODE,ITEM  DESCRIPTION,UOM, QUANTITY ,LOT NUMBER,MFG. DATE,EXPIRY DATE,MANUFACTURER,UNIT PRICE, TOTAL PRICE ,SUPPLIER,CONTRACT/LPO #,COMMENT
4/8/2024,NPW,G13116,DN 12175,BB062700,"Pethidine hydrochloride,50mg/1ml,2ml,Each",EACH," 93,118 ",EN062401,01-2024,12-2025,VERVE, 0.69 ," 64,251.42 ",Worldwide Pharmaceuticals,CMST001809,POSTED
4/8/2024,NPW,G13117,00356,FF007800,"Cotton wool,500g,EACH",EACH," 25,250 ",230725,08-2025,08-2028,FORLONG," 2,875.00 "," 72,593,750.00 ",FAVOUR SURGICAL AND STATIONERY,CMST001290,POSTED
4/8/2024,NPW,G13124,OM/052/24,HH075900,Giving set paed iv admin +needle 60drops/ml,EACH," 8,400 ",OV002,01-2024,12-2026,ONE MEDIC, 0.16 ," 1,344.00 ",ONE MEDIC LLC,CMST001860,POSTED
4/8/2024,NPW,G13124,OM/052/24,HH075600,Giving set adult iv admin +needle 15drops/ml,EACH," 30,000 ",OV003,01-2024,12-2026,ONE MEDIC, 0.16 ," 4,800.00 ",ONE MEDIC LLC,CMST001860,POSTED
4/8/2024,NPW,G13124,OM/052/24,HH027600,"Catheter Foleys retention,30cc,FG,18,Each",EACH," 5,000 ",DFBG23022,12-2023,11-2026,ONE MEDIC, 0.44 ," 2,200.00 ",ONE MEDIC LLC,CMST001860,POSTED
4/8/2024,NPW,G13124,OM/052/24,FF016200,"Plaster, zinc oxide 7.5cmx5m long-stretched",EACH," 8,400 ",C4013144,01-2024,12-2026,ONE MEDIC, 0.94 ," 7,896.00 ",ONE MEDIC LLC,CMST001860,POSTED
4/10/2024,NPW,G13134,INV2324-856,AA044100,"Metronidazole,200mg,tablet,1000",1000," 1,400 ",2444014,03-2024,02-2027,CROWN," 12,300.00 "," 17,220,000.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001853,POSTED
4/10/2024,NPW,G13134,INV2324-856,AA044100,"Metronidazole,200mg,tablet,1000",1000, 908 ,2444012,03-2024,02-2027,CROWN," 12,300.00 "," 11,168,400.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001853,POSTED
4/10/2024,NPW,G13134,INV2324-856,AA044100,"Metronidazole,200mg,tablet,1000",1000," 1,392 ",2444013,03-2024,02-2027,CROWN," 12,300.00 "," 17,121,600.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001853,POSTED
4/10/2024,NPW,G13135,INV2324-877,AA004800,"Amoxycillin,250mg,capsule,1000",1000, 326 ,2439054,03-2024,02-2026,CROWN," 40,000.00 "," 13,040,000.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001872,POSTED
