Posting Date,Entry Type,Document Type,Order No.,Document No.,Item No.,Description,UoM,Lot No.,Expiration Date,Location Code,Quantity,Invoiced Quantity,Remaining Quantity,Sales Amount (Actual),Unit Cost,Cost Amount (Actual),Cost Amount (Non-Invtbl.),Open,Order Type,Entry No.
12/31/2021,Purchase,Purchase Receipt,,G07137,NN045600,"Printing Paper, Ultrasound, Thermo Super Density",EACH,NA,12/31/2099,NPW,100,100,0,0," 6,534.00 "," 653,400.00 ",0,FALSE,,395711
12/25/2021,Purchase,Purchase Receipt,,G06863,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240052,12/31/2026,NPW,841,841,0,0," 13,200.00 "," 11,101,200.00 ",0,FALSE,,377628
12/26/2021,Purchase,Purchase Receipt,,G06862,BB046800,"Lignocaine hydrochloride,1%,25ml,Each",EACH,HS-1003,6/30/2024,NPW,14900,14900,0,0, 264.00 ," 3,933,600.00 ",0,FALSE,,377280
12/29/2021,Purchase,Purchase Receipt,,G06859,EE051900,"Zinc oxide, 15%+sulphur,5%,ointment,500g,Each",EACH,2111208,11/30/2024,NPW,70,70,0,0," 2,310.00 "," 161,700.00 ",0,FALSE,,376374
12/29/2021,Purchase,Purchase Receipt,,G06859,EE021300,"Gentian violet paint aqueous,1%,500ml,Each",EACH,2109165,9/30/2024,NPW,900,900,0,0," 1,031.25 "," 928,125.00 ",0,FALSE,,376373
12/29/2021,Purchase,Purchase Receipt,,G06859,EE021300,"Gentian violet paint aqueous,1%,500ml,Each",EACH,2109155,4/30/2024,NPW,612,612,0,0," 1,031.25 "," 631,125.00 ",0,FALSE,,376372
12/29/2021,Purchase,Purchase Receipt,,G06859,EE021300,"Gentian violet paint aqueous,1%,500ml,Each",EACH,2106115,12/31/2024,NPW,216,216,0,0," 1,031.25 "," 222,750.00 ",0,FALSE,,376371
12/29/2021,Purchase,Purchase Receipt,,G06859,EE008700,"Calamine lotion aqueous,15%,500ml,Each",EACH,2111203,12/31/2024,NPW,2020,2020,0,0," 1,897.50 "," 3,832,950.00 ",0,FALSE,,376370
12/29/2021,Purchase,Purchase Receipt,,G06859,EE008700,"Calamine lotion aqueous,15%,500ml,Each",EACH,2111202,12/31/2024,NPW,2030,2030,0,0," 1,897.50 "," 3,851,925.00 ",0,FALSE,,376369
12/29/2021,Purchase,Purchase Receipt,,G06859,EE008700,"Calamine lotion aqueous,15%,500ml,Each",EACH,2111198,12/31/2024,NPW,2029,2029,0,0," 1,897.50 "," 3,850,027.50 ",0,FALSE,,376368
