No.,Description,Base Unit of Measure,Unit Cost,Unit Price
AA000300,"6-Mercaptopurine,50mg,tablet,10",10,916.20644,1117.32493
AA000301,"Carbimazole,10mg,tablet,Oral",100,0,0
AA000302,"Dexamethasone,4mg,tablet",100,0,0
AA000303,"Donapezil,5mg, tablet",100,0,0
AA000304,"Hydroxychloroquine, 200mg, tablet",100,0,0
AA000305,"Nitroglycerine,0.5mg,sublingual,tablet",100,0,0
AA000306,"Pantoprazole,40mg, Capsule",100,0,0
AA000307,"Prednisolone,10, tablet",100,0,0
AA000308,"Prednisolone,20mg, tablet",100,0,0
AA000309,"Progesterone,200mg,tablet",100,0,0
AA000310,"Sevelemer Carbonate,400mg,tabl",100,0,0
AA000311,"Abiraterone 250mg, tablet",100,0,0
AA000312,"Abiraterone 500mg, tablet",100,0,0
AA000313,"Apreptant 25mg, tablet",100,0,0
AA000314,"Apreptant 40mg, tablet",100,0,0
AA000315,"Enzulatamide 40 mg,tablet",100,0,0
AA000318,"Mesna 400mg, tablet",100,0,0
AA000319,"Nilotinib 150mg, tablet",100,0,0
AA000320,"Nilotinib 200mg, tablet",100,0,0
AA000321,"Palonosetron 0.5mg, tablet",100,0,0
AA000322,"Netuptant 300mg/palonosetron 0.5mg, tablet",100,0,0
AA000323,"Tamoxifene 10mg, tablet",100,0,0
AA000324,"Topotecan 1mg, tablet",100,0,0
AA000350,"6-Mercaptopurine,50mg,tablet,",30,3730.49782,4549.38759
AA000351,"Enzalutamide 40 mg, tablet",120,0,0
AA000352,"Exemestane 25mg, tablet",30,0,0
AA000353,"Netupitant/palonosetron 300mg/0.5mg, tablets",100,0,0
AA000354,"Pomalidomide 4mg, tablet",21,0,0
AA000400,Nitrofurantoin 50mg Tab,100,1849.75,2255.79268
AA000500,"Lercanidipin Geurmann,tablets",30 TABS,25000,30487.80488
AA000550,Lercanipin 20mg,30 TABS,0,0
AA000600,"Acetazolamide,250mg,tablet,100",100,3119.28733,3804.00894
AA000700,"Nebivolol 5mg, tablets",30,8000,9756.09756
AA000900,"Acyclovir,400mg,tablet,100",100,9893.15,12064.81707
AA000901,"Acyclovir,200mg,tablet,100",100,9500,11585.36585
AA000902,"Clonazepam 2mg, Tab",100,0,0
AA001200,"Albendazole,200mg,Chewable tablet,1000",1000,10246.33511,12495.53062
AA001500,"Albendazole,400mg,Chewable tablet,100",100,2433.22167,2967.3435
AA001560,"Alfacalcidol,1mcg (One Alpha),tablet,30",30,19500,23780.4878
AA001570,One-Alpha 0.25ug Capsules,30,0,0
AA001600,"Bisoprolol,2.5mg,tablet,28",28,8500,10365.85366
AA001800,"Allopurinol,100mg,tablet,100",100,862.27,1051.54878
AA001810,"BG Blutamine, Tab",28,0,0
AA001850,"Allopurinol 100mg, Tablet",28,0,0
AA001900,Atorvastatin 20 mg film-coated Tab,28 TABS,990,1207.31707
AA001930,"Atomoxetine,10mg,Capsules,28",28,0,0
AA001931,"Atomoxetine,25mg,Capsules,28",28,0,0
AA001932,"Atomoxetine,40mg,Capsules,28",28,0,0
AA001949,"Cellcept (mycophenolate),500mg,tablet,30",30,122000,148780.4878
AA001950,"Cellcept (mycophenolate),500mg,tablet,50",50,0,0
AA001960,Carvedilol 6.25 mg film-coated Tab,100,0,0
AA001965,Carvedilol 25 mg film-coated Tab,100,0,0
AA001970,"Clindamycin 300mg, Capsules",10,0,0
AA002100,"Allopurinol,300mg,tablet,100",100,2786.0085,3397.57134
AA002200,"Glyceryl Trinitrate 500mcg, sublingual, Tab",100 TABLET,16500,20121.95122
AA002300,Cyclosporine 25mg-Sandimmun Optoral 25mg caps,50,119000,145121.9512
AA002400,"Alprazolam 0.25mg, Tab",60,0,0
AA002450,"Perindopril (Corvesyl),5mg,tablet,30,tabs",30 TABS,0,0
AA002451,"Perindopril (Corvesyl),4mg,tablet,30",30,27950,34085.36585
AA002700,"Aminophylline,100mg,tablet,1000",1000,4293.00398,5235.37071
AA002750,"Simvastatin,20mg,tablet,30",30,3000,3658.53659
AA002760,Sevelamer Carbonate 800mg Renvela,30,36400,44390.2439
AA003000,"Amiodalone,100mg,tablet,100",100,7174.85,8749.81707
AA003300,"Amitriptyline,25mg,tablet,100",100,654.41348,798.06522
AA003310,Amitriptyline 25mg Film-Coated Tab,1000,0,0
AA003320,"Amitriptyline,50mg,Tablet,28",28 TABS,0,0
AA003350,"Sodium bicarbomirate,500mg,(BicuNorin),tablet,100",100,26000,31707.31707
AA003600,"Amlodipine,10mg,tablet,100",100,1116,1360.97561
AA003900,"Amlodipine,5mg,tablet,100",100,612,746.34146
AA003950,"Amlodipine,5mg,tablet,30",30,191.49478,233.53022
AA004200,"Amoxycillin,250mg,dispersible tablet,1000",1000,32310,39402.43902
AA004250,"Decortin (Prednisolone),5mg,tablet,30",30,6500,7926.82927
AA004300,Decortin (Prednisolone) 10mg Tab,30,0,0
AA004350,Candesartan 8mg Tab,28,22500,27439.02439
AA004500,"Amoxycillin,250mg,Dispersible tablet,1000",1000,0,0
AA004800,"Amoxycillin,250mg,capsule,1000",1000,25987.92489,31692.59133
AA005100,"Amoxycillin,250mg,tablet,1000",1000,0,0
AA005400,Amoxycillin 500mg+Clavulanic acid 125mg Tab-foil,100,17850,21768.29268
AA005401,Amoxycillin 500mg plus Clavulanic acid 125mg tab,30,11500,14024.39024
AA005700,"Anastrazole,1mg,tablet,10",10,14136,17239.02439
AA005750,"Anastrazole 1mg, Tablets",30,14136,17239.02439
AA006000,"Aripiprazole,10mg,tablet,100",100,14786.82,18032.70732
AA006010,"Aripiprazole,5mg,tablet,28",28 TABS,0,0
AA006020,"Aripiprazole,15mg,tablet,28",28 TABS,0,0
AA006300,Artesunate 50mg+Amodiaquine 153mg Tab,100,0,0
AA006600,Artesunate 50mg+Amodiaquine 153mg(base),100,0,0
AA006900,Artesunate 50mg+Amodiaquine 153mg(base),100,0,0
AA007100,"Hydrochlorothiazide,12.5,mg,tablet,30,tabs",30 TABS,0,0
AA007150,Chloroquine Phosphate 250mg Tablets,100,0,0
AA007160,Chloroquine Phosphate 150mg Tablets,100,0,0
AA007180,"Amisulpride,100mg,tablet,30",30 TABS,0,0
AA007200,"Aspirin,300mg,tablet,1000",1000,6814.57331,8310.45526
AA007250,"Aspirin,100mg,tablet,30,tabs",100,7500,9146.34146
AA007500,"Aspirin,75mg,tablet,1000",1000,2139.42677,2609.05704
AA007800,"Atenolol,100mg,tablet,100",100,0,0
AA007820,"Atenolol, 100mg tablet",1000,8146.90676,9935.25215
AA007840,"Atenolol,50mg,tablet,1000",1000,7563.37455,9223.6275
AA008100,"Atenolol,50mg,tablet,100",100,392.58942,478.76759
AA008400,"Azathioprine,50mg,tablet,10",10,1474.07103,1797.6476
AA008700,"Azithromycin,500mg,capsule,3",3,983.98583,1199.98272
AA008701,"Azithromycin,250mg,tablet,6",6,560.32,683.31707
AA008702,"Azithromycin,500mgTablet,30",30,0,0
AA008706,Azithromycin 250mg,100,0,0
AA008750,"Baclofen,10mg,tablet,28",28,25655.67,31287.40244
AA008760,Baclofen (Hyoscine butylbromide 5mg),100,0,0
AA009000,"Benzhexol,5mg,tablet,100",100,1189.45585,1450.55591
AA009300,"Bicalutamide,50mg,tablet,100",100,19909.72433,24280.15162
AA009600,"Bicalutamide,50mg,tablet,10",10,0,0
AA009900,"Bisacodyl,5mg,tablet,1000",1000,3156.43144,3849.30663
AA009940,Bisoprolol Fumarate 5 mg Film-coated Tab,30,0,0
AA010200,"Bromocriptine,2.5mg,tablet,100",100,28290,34500
AA010500,"Busulphan 2mg, Tab",100,0,0
AA010800,"Calciferol 250 micrograms, Tab",100,0,0
AA01085,Colecalciferol 20 000 IU Capsules,100,0,0
AA010850,"Colecalciferol olige 20000,IU,tablet,100",100,39200,47804.87805
AA011100,Calcitriol 0.5 Micrograms Tab,100,12385.8,15104.63415
AA011400,"Calcium gluconate 600mg , Tab",100,2590.875,3159.60366
AA011420,Calcium Sandoz Forte 500ng,20,0,0
AA011430,Calcium - Hexal 500mg Elemental,10,15000,18292.68293
AA011440,Caffein 5mg Tab,100,0,0
AA011450,"Candesartan,4mg,tablet (Atacand,4mg),90",90,0,0
AA011700,"Capecitabine,500,mg,tablet,10",10,5723.6,6980
AA012000,"Captopril,12.5mg,tablet,100",100,773.05805,942.75372
AA012300,"Captopril,25mg,tablet,100",100,1980,2414.63415
AA012600,"Carbamazepine,200mg,tablet,1000",1000,40630,49548.78049
AA012650,"Carbamazapine, 400mg,Tablet,56",56 TABS,0,0
AA012900,"Carbimazole,5mg,tablet,100",100,3231.1,3940.36585
AA012950,Riluzole 50mg Film-coated,30 TABS,0,0
