Code,Item Description,Code and Description,UOM,Quantity Requested,Unit Price,Total Cost,Facility Level,Region,Requesting Facility,Month
AA022800,Enalapril 10mg tablets,AA022800 Enalapril 10mg tablets,100,10,1050.43706,10504.3706,District Hospital,North,Chitipa DHO,January-23
AA003900,"Amlodipine 5mg, tablets","AA003900 Amlodipine 5mg, tablets",100,100,746.34146,74634.146,District Hospital,North,Chitipa DHO,January-23
AA048600,"Omeprazole 20mg, Capsules","AA048600 Omeprazole 20mg, Capsules",100,50,1079.37144,53968.572,District Hospital,North,Chitipa DHO,January-23
AA064500,"Vitamin B complex strong, Tablets","AA064500 Vitamin B complex strong, Tablets",1000,10,3706.00229,37060.0229,District Hospital,North,Chitipa DHO,January-23
AA025200,"Ferrous sulphate 200mg / folic acid 250 micrograms, coated tablets ---","AA025200 Ferrous sulphate 200mg / folic acid 250 micrograms, coated tablets ---",,50,17560.97561,878048.7805,District Hospital,North,Chitipa DHO,January-23
AA025800,"Flucloxacillin 250mg, Capsules","AA025800 Flucloxacillin 250mg, Capsules",100,50,6146.34146,307317.073,District Hospital,North,Chitipa DHO,January-23
AA062400,"Tramadol 50mg, capsules","AA062400 Tramadol 50mg, capsules",100,40,3162.8283,126513.132,District Hospital,North,Chitipa DHO,January-23
AA023700,"Erythromycin 250mg, enteric coated tablets","AA023700 Erythromycin 250mg, enteric coated tablets",1000,1,73536.58537,73536.58537,District Hospital,North,Chitipa DHO,January-23
AA042500,"Metformin hydrochloride 500mg, Tablet","AA042500 Metformin hydrochloride 500mg, Tablet",1000,10,16475.03723,164750.3723,District Hospital,North,Chitipa DHO,January-23
AA029700,"Griseofulvin 250mg, tablets","AA029700 Griseofulvin 250mg, tablets",100,3,45552.0109,136656.0327,District Hospital,North,Chitipa DHO,January-23
AA045000,"Misoprostol 200 mcg, tablets","AA045000 Misoprostol 200 mcg, tablets",100,10,6596.20823,65962.0823,District Hospital,North,Chitipa DHO,January-23
AA014100,Chlorpheniramine maleate 4mg,AA014100 Chlorpheniramine maleate 4mg,1000,5,1632.53376,8162.6688,District Hospital,North,Chitipa DHO,January-23
AA038100,"Loperamide HCl 2mg, tablets","AA038100 Loperamide HCl 2mg, tablets",1000,3,3031.8859,9095.6577,District Hospital,North,Chitipa DHO,January-23
AA028800,"Glibenclamide 5mg, tablets","AA028800 Glibenclamide 5mg, tablets",1000,10,3871.09606,38710.9606,District Hospital,North,Chitipa DHO,January-23
AA004800,"Amoxycillin 250mg, capsules","AA004800 Amoxycillin 250mg, capsules",1000,100,31692.59133,3169259.133,District Hospital,North,Chitipa DHO,January-23
AA008701,Azithromycin 250mg,AA008701 Azithromycin 250mg,6,500,683.31707,341658.535,District Hospital,North,Chitipa DHO,January-23
AA008700,"Azithromycin 500mg, Capsules","AA008700 Azithromycin 500mg, Capsules",3,1000,1199.98272,1199982.72,District Hospital,North,Chitipa DHO,January-23
AA003300,"Amitriptyline 25mg, tablets","AA003300 Amitriptyline 25mg, tablets",100,10,798.06522,7980.6522,District Hospital,North,Chitipa DHO,January-23
AA009900,"Bisacodyl 5mg, tablets","AA009900 Bisacodyl 5mg, tablets",1000,10,3849.30663,38493.0663,District Hospital,North,Chitipa DHO,January-23
AA012600,"Carbamazepine 200mg, tablets","AA012600 Carbamazepine 200mg, tablets",1000,20,49548.78049,990975.6098,District Hospital,North,Chitipa DHO,January-23
AA063000,"Tranexamic acid 500mg, Capsules","AA063000 Tranexamic acid 500mg, Capsules",100,10,65853.65854,658536.5854,District Hospital,North,Chitipa DHO,January-23
AA014400,"Chlorpromazine 100mg, coated tablets","AA014400 Chlorpromazine 100mg, coated tablets",1000,20,29524.39024,590487.8048,District Hospital,North,Chitipa DHO,January-23
